601857-600256,1.416108,-1.238124,0.145763,:,1.387560,0.193311,1.995518,False
600256-002267,0.340585,1.521495,0.093856,:,1.484007,0.455444,1.965684,False
600720-000671,0.161975,1.576804,0.052047,:,1.814977,0.218214,3.366080,False
000671-000012,0.663363,0.873649,0.032285,:,1.764513,0.041790,3.873771,False
600009-000671,0.963216,0.478608,0.043078,:,1.729262,0.025813,3.329648,False
000786-000671,-0.310454,3.585869,0.036863,:,1.664497,0.081062,2.544488,False
000789-000671,0.512295,1.103111,0.033107,:,1.610883,0.129845,2.868415,False
600655-000671,0.955232,-0.083741,0.026737,:,1.673048,0.054796,2.986912,False
600649-000671,0.142464,1.861873,0.064753,:,1.459063,0.059407,2.454132,False
600741-000671,0.016721,2.309868,0.041343,:,1.609325,0.044321,3.044396,False
000671-000651,-0.503913,4.045711,0.040773,:,1.711714,0.061541,3.230320,False
000671-000401,0.075249,2.147150,0.048349,:,1.744797,0.025585,2.791100,False
600585-000671,-0.262313,3.429061,0.059551,:,1.600825,0.053286,2.610493,False
000625-000550,1.732114,-2.938455,0.190569,:,1.353167,0.156894,1.969400,False
000625-000012,0.346673,1.710123,0.039857,:,1.682307,0.088228,3.126299,False
601238-000625,0.394555,1.213243,0.037897,:,1.523266,0.114462,2.868751,False
000625-000028,0.026802,2.363753,0.042818,:,1.777967,0.059651,3.201197,False
002594-000625,0.832017,1.564370,0.030768,:,1.615510,0.038396,3.880481,False
600478-000625,0.297160,2.501517,0.045809,:,1.584400,0.123936,2.965774,False
002340-000625,0.972319,-0.082213,0.035869,:,1.667197,0.041431,3.273174,False
000625-000049,0.520054,0.307898,0.041378,:,1.656208,0.032712,3.682036,False
600366-000625,0.613026,1.160908,0.029935,:,1.533247,0.092773,2.340552,True
600770-000625,0.561831,0.667450,0.039470,:,1.641068,0.089598,3.367224,False
000625-000596,0.220672,1.789684,0.043350,:,1.640119,0.054243,3.236370,False
601633-000625,0.618072,2.240169,0.037239,:,1.721397,0.039679,3.114865,False
000625-000581,0.604031,0.449688,0.041285,:,1.658868,0.055704,3.938200,False
002011-000625,0.925198,-0.110550,0.031597,:,1.673010,0.039121,4.257406,False
600674-000625,1.023216,-0.064817,0.038288,:,1.771265,0.044003,2.776972,False
600066-000625,0.550643,1.476332,0.041441,:,1.437357,0.097496,2.560077,True
000800-000625,0.232794,1.959368,0.043119,:,1.529163,0.041862,2.052957,False
600835-000625,0.402342,1.789396,0.036959,:,1.517548,0.081007,3.474962,False
600741-000625,0.849123,0.258733,0.023724,:,1.541956,0.065121,3.412192,False
000970-000625,0.160328,2.215772,0.039284,:,1.614518,0.097627,2.608796,False
002091-000625,0.286025,1.827992,0.033617,:,1.677611,0.066407,3.110874,False
600104-000625,0.548770,1.350789,0.036902,:,1.601064,0.052399,2.658596,False
600801-000625,0.886235,0.322163,0.022154,:,1.812150,0.049803,4.765143,False
600967-600495,-0.014681,2.804596,0.065405,:,1.605163,0.066761,2.071923,False
600967-600406,0.618113,1.140716,0.046338,:,1.416377,0.107039,2.655072,False
002378-002155,1.896367,-1.109985,0.092811,:,1.499395,0.145317,3.408810,True
601139-002378,0.978486,-0.724431,0.020572,:,1.550759,0.058911,3.804189,False
600008-002378,0.775974,-0.284815,0.019588,:,1.584510,0.050932,3.995466,False
601388-002378,0.769173,0.034132,0.020431,:,1.616136,0.047199,3.326591,False
002378-000338,1.002846,-0.076539,0.022346,:,1.590248,0.062022,2.627717,False
300090-002378,-0.067747,3.691924,0.049756,:,1.607657,0.030788,2.775018,False
002378-002340,0.221935,2.393140,0.031456,:,1.581623,0.082607,2.724704,False
600690-002378,-0.088697,3.118594,0.094668,:,1.577407,0.134815,2.181917,False
600649-002378,0.324723,1.245193,0.059971,:,1.454902,0.055085,2.526224,False
002378-000581,-0.575299,4.825381,0.039124,:,1.751316,0.051352,3.111976,False
002378-002011,-0.037003,2.986676,0.032707,:,1.558569,0.109014,2.668921,False
600060-002378,0.633206,0.621443,0.024251,:,1.612604,0.033275,3.401507,False
002378-000970,0.872859,0.630550,0.026303,:,1.760509,0.071113,2.833752,False
002378-000651,-0.188915,3.556691,0.032707,:,1.550867,0.146756,2.605248,False
600801-002378,0.420916,1.279858,0.035741,:,1.757756,0.075952,3.182322,False
600874-002378,0.739998,-0.004296,0.022190,:,1.766174,0.039382,3.709055,False
600481-002378,0.053023,2.227075,0.059331,:,1.609166,0.035684,2.870478,False
000550-000012,-0.106233,3.350381,0.121230,:,1.405500,0.226319,2.346440,False
000550-000028,0.341068,1.866853,0.109662,:,1.496524,0.191456,2.550242,False
000596-000550,0.691202,0.888264,0.084423,:,1.604490,0.059701,2.979590,False
601633-000550,1.019782,0.579130,0.111819,:,1.439825,0.127299,2.128949,False
000581-000550,1.833168,-2.385827,0.175505,:,1.408086,0.176964,2.376949,False
000800-000550,-1.107454,5.986630,0.124542,:,1.654012,0.087440,2.649712,False
600066-000550,2.026142,-3.489108,0.201849,:,1.414795,0.150776,2.398922,True
600835-000550,1.384315,-1.537444,0.154988,:,1.361875,0.197109,2.080180,False
600741-000550,2.075970,-4.128772,0.227351,:,1.339925,0.245097,1.978882,False
600104-000550,-0.129049,3.103272,0.047367,:,1.663082,0.086206,2.317598,False
600801-000550,1.902491,-3.431969,0.210262,:,1.331314,0.183455,1.881227,False
002375-000012,0.144745,2.938914,0.054106,:,1.465312,0.043812,2.336129,False
600309-002375,0.482415,1.382935,0.051269,:,1.651941,0.087335,2.940249,False
600100-002375,0.472461,0.711534,0.051987,:,1.713637,0.033839,2.763369,False
002375-000786,0.584260,1.576824,0.037902,:,1.549886,0.135487,2.378872,False
600481-002375,0.495593,0.769655,0.049734,:,1.577396,0.048189,3.892076,True
600893-600100,0.602830,1.581873,0.058420,:,1.588127,0.029720,3.102875,True
600893-600495,0.121757,2.612176,0.086245,:,1.619903,0.093470,2.330941,False
600893-600372,1.236517,-0.880192,0.066008,:,1.647541,0.030626,3.042207,True
600893-000338,0.288562,2.078248,0.080508,:,1.658300,0.093966,2.305012,False
601808-600893,-0.023927,3.223138,0.044717,:,1.563327,0.047235,4.066557,True
600893-002428,0.727264,1.087679,0.062291,:,1.753596,0.031995,3.577187,True
600893-300024,0.429893,1.334130,0.074971,:,1.542397,0.048080,2.157518,False
600893-600118,1.065097,-0.121511,0.033261,:,1.682768,0.039433,3.389834,True
600893-600765,0.361560,2.006499,0.077083,:,1.622117,0.118952,2.174779,False
600893-000768,0.514216,1.768524,0.065259,:,1.613336,0.087528,2.527265,True
600893-600111,-0.016728,2.990960,0.087256,:,1.613491,0.075197,2.303059,False
600893-000425,0.057489,2.819042,0.086993,:,1.627531,0.088338,2.274094,False
600720-000012,0.404238,1.075037,0.046515,:,1.748295,0.091304,3.548556,False
